customer_id,customer_name,gender,age,occupation,annual_income,city,state,join_date
C0073,Customer_73,Female,56,Salaried,1574543,Bengaluru,Karnataka,11-08-22
C0074,Customer_74,Female,58,Professional,2250301,Delhi,Delhi,24-06-23
C0075,Customer_75,Male,53,Student,1011737,Hyderabad,Telangana,11-09-24
C0076,Customer_76,Female,53,Professional,691694,Mumbai,Maharashtra,27-04-22
C0077,Customer_77,Male,33,Business,402447,Bengaluru,Karnataka,05-04-21
C0078,Customer_78,Female,60,Salaried,2210153,Delhi,Delhi,29-04-23
C0079,Customer_79,Female,52,Student,1323344,Delhi,Delhi,30-10-21
C0080,Customer_80,Male,48,Business,1037722,Mumbai,Maharashtra,27-11-23
C0081,Customer_81,Male,56,Business,809014,Hyderabad,Telangana,24-07-23
C0082,Customer_82,Female,54,Professional,2156287,Delhi,Delhi,08-06-24
C0083,Customer_83,Female,31,Student,2187729,Hyderabad,Telangana,15-06-22
C0084,Customer_84,Female,54,Student,2928773,Delhi,Delhi,05-05-22
C0085,Customer_85,Female,25,Professional,1283537,Bengaluru,Karnataka,11-07-22
C0086,Customer_86,Female,55,Salaried,880382,Bengaluru,Karnataka,05-11-21
C0087,Customer_87,Female,30,Business,569395,Delhi,Delhi,30-04-23
C0088,Customer_88,Female,55,Student,2043883,Hyderabad,Telangana,08-05-21
C0089,Customer_89,Female,45,Salaried,2714620,Delhi,Delhi,19-02-23
C0090,Customer_90,Male,43,Professional,1935722,Hyderabad,Telangana,09-05-23
C0091,Customer_91,Female,35,Professional,2128028,Delhi,Delhi,22-09-23
C0092,Customer_92,Female,42,Student,992247,Mumbai,Maharashtra,16-08-23
C0093,Customer_93,Male,46,Salaried,652101,Delhi,Delhi,09-08-24
C0094,Customer_94,Male,50,Business,510909,Hyderabad,Telangana,17-06-22
C0095,Customer_95,Female,34,Student,1670890,Hyderabad,Telangana,23-11-22
C0096,Customer_96,Female,47,Professional,643539,Hyderabad,Telangana,22-08-23
C0097,Customer_97,Male,43,Business,587806,Mumbai,Maharashtra,27-08-24
C0098,Customer_98,Male,36,Business,385479,Mumbai,Maharashtra,26-06-24
C0099,Customer_99,Male,29,Student,779784,Delhi,Delhi,01-03-24
C0100,Customer_100,Female,37,Professional,1003758,Delhi,Delhi,25-05-24
C0101,Customer_101,Male,40,Salaried,2727179,Mumbai,Maharashtra,22-02-21
C0102,Customer_102,Female,46,Business,618752,Bengaluru,Karnataka,27-04-24
C0103,Customer_103,Male,40,Salaried,2673693,Delhi,Delhi,26-03-21
C0104,Customer_104,Female,44,Salaried,2422153,Bengaluru,Karnataka,19-08-24
C0105,Customer_105,Male,47,Student,742662,Bengaluru,Karnataka,07-06-23
C0106,Customer_106,Female,30,Student,1038771,Bengaluru,Karnataka,05-12-23
C0107,Customer_107,Female,50,Student,2785018,Bengaluru,Karnataka,04-07-22
C0108,Customer_108,Male,26,Professional,2190800,Bengaluru,Karnataka,15-05-22
C0109,Customer_109,Female,42,Salaried,2373271,Hyderabad,Telangana,28-10-22
C0110,Customer_110,Female,34,Professional,1383608,Delhi,Delhi,29-11-22
C0111,Customer_111,Female,56,Salaried,2466891,Bengaluru,Karnataka,27-01-22
C0112,Customer_112,Male,47,Student,2628577,Mumbai,Maharashtra,08-05-22
C0113,Customer_113,Female,49,Salaried,690294,Hyderabad,Telangana,26-08-22
C0114,Customer_114,Female,36,Professional,2739220,Delhi,Delhi,26-01-23
C0115,Customer_115,Female,48,Professional,1775600,Hyderabad,Telangana,19-07-23
C0116,Customer_116,Female,37,Business,806067,Bengaluru,Karnataka,30-01-22
C0117,Customer_117,Male,55,Business,1103381,Bengaluru,Karnataka,20-03-22
C0118,Customer_118,Female,58,Professional,721637,Hyderabad,Telangana,02-02-22
C0119,Customer_119,Male,44,Business,1567802,Bengaluru,Karnataka,29-01-21
C0120,Customer_120,Female,23,Salaried,2620955,Delhi,Delhi,22-08-22
C0121,Customer_121,Female,27,Salaried,2707799,Delhi,Delhi,06-08-22
C0122,Customer_122,Female,49,Professional,1073277,Hyderabad,Telangana,16-04-21
C0123,Customer_123,Female,28,Salaried,1980688,Bengaluru,Karnataka,05-10-23
C0124,Customer_124,Male,30,Business,2660720,Mumbai,Maharashtra,15-09-22
C0125,Customer_125,Male,28,Student,2843080,Mumbai,Maharashtra,05-05-24
C0126,Customer_126,Female,49,Student,1547189,Delhi,Delhi,20-04-24
C0127,Customer_127,Female,57,Salaried,2856977,Hyderabad,Telangana,23-07-21
C0128,Customer_128,Male,37,Salaried,958745,Delhi,Delhi,07-05-22
C0129,Customer_129,Male,31,Salaried,2013446,Delhi,Delhi,12-07-23
C0130,Customer_130,Female,23,Business,1508399,Hyderabad,Telangana,03-08-22
C0131,Customer_131,Male,35,Professional,2921683,Hyderabad,Telangana,22-04-24
C0132,Customer_132,Female,28,Business,924906,Delhi,Delhi,29-06-22
C0133,Customer_133,Male,24,Business,1590217,Delhi,Delhi,03-05-24
C0134,Customer_134,Female,28,Student,1575450,Bengaluru,Karnataka,05-04-23
C0135,Customer_135,Female,49,Salaried,2808347,Bengaluru,Karnataka,23-03-21
C0136,Customer_136,Female,59,Professional,408485,Hyderabad,Telangana,07-07-21
C0137,Customer_137,Male,38,Salaried,1034803,Delhi,Delhi,22-08-23
C0138,Customer_138,Female,32,Student,2962480,Hyderabad,Telangana,05-10-23
C0139,Customer_139,Female,43,Student,1697996,Mumbai,Maharashtra,20-10-22
C0140,Customer_140,Male,42,Student,2378147,Mumbai,Maharashtra,14-08-22
C0141,Customer_141,Male,50,Salaried,1619180,Hyderabad,Telangana,01-06-22
C0142,Customer_142,Male,46,Salaried,2575802,Bengaluru,Karnataka,05-08-23
C0143,Customer_143,Male,33,Professional,2911515,Hyderabad,Telangana,18-10-23
C0144,Customer_144,Male,34,Professional,2603594,Hyderabad,Telangana,26-09-21
C0145,Customer_145,Female,52,Salaried,421087,Bengaluru,Karnataka,14-07-24
C0146,Customer_146,Male,40,Salaried,2616310,Delhi,Delhi,16-04-23
C0147,Customer_147,Male,28,Student,792688,Mumbai,Maharashtra,19-08-24
C0148,Customer_148,Female,39,Professional,2042692,Delhi,Delhi,16-09-23
C0149,Customer_149,Male,50,Business,1908876,Hyderabad,Telangana,26-01-22
C0150,Customer_150,Male,38,Student,1725540,Delhi,Delhi,06-11-23
C0151,Customer_151,Male,39,Professional,2761795,Bengaluru,Karnataka,02-04-24
C0152,Customer_152,Male,49,Student,1747554,Hyderabad,Telangana,12-11-22
C0153,Customer_153,Female,41,Business,1301623,Hyderabad,Telangana,17-03-24
C0154,Customer_154,Male,47,Salaried,1634528,Hyderabad,Telangana,27-08-23
C0155,Customer_155,Female,30,Student,455271,Hyderabad,Telangana,16-09-21
C0156,Customer_156,Male,49,Salaried,2505998,Bengaluru,Karnataka,25-07-23
C0157,Customer_157,Male,47,Business,613852,Mumbai,Maharashtra,20-08-23
C0158,Customer_158,Female,60,Student,636866,Bengaluru,Karnataka,04-11-22
C0159,Customer_159,Female,52,Salaried,2889812,Hyderabad,Telangana,21-05-21
C0160,Customer_160,Female,35,Salaried,2120208,Delhi,Delhi,21-07-21
C0161,Customer_161,Female,31,Professional,421413,Mumbai,Maharashtra,05-04-21
C0162,Customer_162,Male,39,Professional,1872197,Bengaluru,Karnataka,02-06-23
C0163,Customer_163,Male,54,Student,2673674,Delhi,Delhi,28-10-24
C0164,Customer_164,Male,32,Salaried,2856393,Delhi,Delhi,23-02-23
C0165,Customer_165,Female,58,Business,1273868,Delhi,Delhi,03-08-23
C0166,Customer_166,Female,37,Salaried,2251413,Bengaluru,Karnataka,13-08-22
C0167,Customer_167,Male,49,Professional,2764454,Delhi,Delhi,05-09-22
C0168,Customer_168,Female,50,Professional,1135576,Hyderabad,Telangana,27-02-23
C0169,Customer_169,Male,36,Student,2698817,Hyderabad,Telangana,06-01-23
C0170,Customer_170,Female,22,Student,1451254,Bengaluru,Karnataka,17-01-21
C0171,Customer_171,Female,39,Business,2846215,Mumbai,Maharashtra,23-12-22
C0172,Customer_172,Male,60,Professional,873693,Delhi,Delhi,10-07-24
C0173,Customer_173,Male,40,Student,439940,Mumbai,Maharashtra,01-04-24
C0174,Customer_174,Male,26,Professional,1670359,Bengaluru,Karnataka,01-05-23
C0175,Customer_175,Male,29,Professional,2526556,Delhi,Delhi,25-10-23
C0176,Customer_176,Male,37,Student,1537912,Bengaluru,Karnataka,25-11-22
C0177,Customer_177,Female,25,Business,1246296,Mumbai,Maharashtra,17-10-24
C0178,Customer_178,Female,26,Student,358379,Hyderabad,Telangana,26-06-22
C0179,Customer_179,Female,44,Professional,2751822,Mumbai,Maharashtra,20-02-23
C0180,Customer_180,Male,35,Student,404960,Bengaluru,Karnataka,22-06-24
C0181,Customer_181,Male,25,Student,1567477,Bengaluru,Karnataka,22-08-24
C0182,Customer_182,Male,29,Salaried,456078,Hyderabad,Telangana,16-09-22
C0183,Customer_183,Male,27,Business,2554633,Hyderabad,Telangana,05-10-21
C0184,Customer_184,Female,44,Student,2763483,Hyderabad,Telangana,13-11-21
C0185,Customer_185,Male,52,Student,1473315,Hyderabad,Telangana,09-03-21
C0186,Customer_186,Male,49,Student,1290328,Bengaluru,Karnataka,13-01-23
C0187,Customer_187,Female,55,Professional,553965,Mumbai,Maharashtra,27-03-23
C0188,Customer_188,Male,28,Student,684506,Bengaluru,Karnataka,19-09-24
C0189,Customer_189,Male,24,Professional,1321601,Delhi,Delhi,15-09-21
C0190,Customer_190,Male,56,Business,2759468,Delhi,Delhi,19-03-22
C0191,Customer_191,Female,30,Salaried,1462974,Delhi,Delhi,24-10-21
C0192,Customer_192,Female,32,Salaried,408129,Delhi,Delhi,27-09-21
C0193,Customer_193,Female,36,Professional,366190,Mumbai,Maharashtra,23-12-21
C0194,Customer_194,Male,29,Student,2506562,Bengaluru,Karnataka,21-08-21
C0195,Customer_195,Female,49,Professional,2452676,Mumbai,Maharashtra,30-04-24
C0196,Customer_196,Female,53,Business,2879945,Mumbai,Maharashtra,30-03-21
C0197,Customer_197,Female,22,Salaried,2308995,Bengaluru,Karnataka,03-04-23
C0198,Customer_198,Male,52,Student,608242,Hyderabad,Telangana,15-06-21
C0199,Customer_199,Male,25,Business,1453500,Bengaluru,Karnataka,02-07-24
C0200,Customer_200,Female,59,Professional,2203020,Bengaluru,Karnataka,02-11-23
C0201,Customer_201,Male,28,Business,2103844,Hyderabad,Telangana,14-07-23
C0202,Customer_202,Female,42,Student,1972395,Delhi,Delhi,02-05-23
C0203,Customer_203,Female,48,Professional,1369085,Mumbai,Maharashtra,06-02-23
C0204,Customer_204,Female,25,Salaried,658044,Delhi,Delhi,10-07-21
C0205,Customer_205,Male,44,Business,2633588,Hyderabad,Telangana,03-05-21
C0206,Customer_206,Male,47,Professional,2073925,Bengaluru,Karnataka,16-04-21
C0207,Customer_207,Female,43,Salaried,2723965,Bengaluru,Karnataka,06-11-23
C0208,Customer_208,Male,51,Business,753900,Delhi,Delhi,19-12-22
C0209,Customer_209,Male,38,Business,2099827,Bengaluru,Karnataka,23-02-24
C0210,Customer_210,Female,22,Business,1446179,Mumbai,Maharashtra,25-09-22
C0211,Customer_211,Female,21,Business,900840,Bengaluru,Karnataka,05-03-24
C0212,Customer_212,Male,30,Salaried,684859,Hyderabad,Telangana,23-12-23
C0213,Customer_213,Female,47,Student,1729821,Delhi,Delhi,19-11-21
C0214,Customer_214,Female,41,Salaried,520657,Bengaluru,Karnataka,15-11-21
C0215,Customer_215,Male,26,Professional,2158550,Delhi,Delhi,17-09-24
C0216,Customer_216,Female,59,Student,2037212,Hyderabad,Telangana,14-07-22
C0217,Customer_217,Male,43,Student,765105,Delhi,Delhi,04-08-22
C0218,Customer_218,Female,23,Business,1957854,Hyderabad,Telangana,12-05-24
C0219,Customer_219,Male,34,Professional,1185979,Mumbai,Maharashtra,09-10-21
C0220,Customer_220,Female,41,Salaried,332421,Bengaluru,Karnataka,16-10-23
C0221,Customer_221,Male,29,Student,2533812,Hyderabad,Telangana,17-04-22
C0222,Customer_222,Male,46,Salaried,2129637,Bengaluru,Karnataka,08-02-21
C0223,Customer_223,Male,41,Student,2705012,Hyderabad,Telangana,09-04-23
C0224,Customer_224,Female,28,Student,387478,Hyderabad,Telangana,28-10-22
C0225,Customer_225,Female,44,Salaried,2131701,Delhi,Delhi,05-08-21
C0226,Customer_226,Female,58,Student,2497658,Delhi,Delhi,11-06-21
C0227,Customer_227,Female,42,Business,1696991,Hyderabad,Telangana,11-12-21
C0228,Customer_228,Male,54,Business,1765386,Mumbai,Maharashtra,21-12-22
C0229,Customer_229,Male,27,Business,1373608,Delhi,Delhi,09-02-22
C0230,Customer_230,Male,25,Business,2933808,Delhi,Delhi,09-10-23
C0231,Customer_231,Female,57,Professional,2930740,Hyderabad,Telangana,10-10-22
C0232,Customer_232,Female,25,Student,2154755,Delhi,Delhi,17-07-24
C0233,Customer_233,Female,58,Salaried,1776152,Bengaluru,Karnataka,06-11-23
C0234,Customer_234,Female,50,Student,457736,Mumbai,Maharashtra,27-04-21
C0235,Customer_235,Female,25,Salaried,2879532,Bengaluru,Karnataka,01-05-24
C0236,Customer_236,Female,58,Salaried,2186319,Hyderabad,Telangana,16-03-24
C0237,Customer_237,Female,59,Student,2402886,Delhi,Delhi,05-11-21
C0238,Customer_238,Female,27,Professional,653702,Mumbai,Maharashtra,31-10-23
C0239,Customer_239,Male,36,Student,2143068,Delhi,Delhi,10-12-23
C0240,Customer_240,Female,44,Professional,1924942,Delhi,Delhi,18-04-23
C0241,Customer_241,Male,42,Salaried,1682823,Bengaluru,Karnataka,13-07-21
C0242,Customer_242,Female,37,Business,1698221,Hyderabad,Telangana,16-06-21
C0243,Customer_243,Female,40,Student,840862,Delhi,Delhi,03-05-24
C0244,Customer_244,Female,56,Student,2999006,Mumbai,Maharashtra,04-11-22
C0245,Customer_245,Male,48,Professional,376464,Delhi,Delhi,13-01-23
C0246,Customer_246,Male,34,Professional,2339568,Bengaluru,Karnataka,29-01-22
C0247,Customer_247,Male,30,Salaried,1540641,Delhi,Delhi,27-07-21
C0248,Customer_248,Female,60,Business,2805033,Mumbai,Maharashtra,11-02-23
C0249,Customer_249,Male,32,Business,2135735,Delhi,Delhi,31-03-21
C0250,Customer_250,Female,36,Student,2861022,Hyderabad,Telangana,07-08-22
C0251,Customer_251,Male,55,Business,1598002,Hyderabad,Telangana,19-08-23
C0252,Customer_252,Female,57,Student,2236426,Delhi,Delhi,01-08-22
C0253,Customer_253,Female,31,Business,2836142,Hyderabad,Telangana,11-10-21
C0254,Customer_254,Male,51,Professional,2625912,Bengaluru,Karnataka,30-07-21
C0255,Customer_255,Female,26,Business,1444169,Mumbai,Maharashtra,10-07-23
C0256,Customer_256,Female,26,Business,2192167,Delhi,Delhi,17-12-22
C0257,Customer_257,Female,24,Student,2405570,Mumbai,Maharashtra,05-02-23
C0258,Customer_258,Female,26,Professional,1241783,Delhi,Delhi,27-02-21
C0259,Customer_259,Male,42,Business,877134,Bengaluru,Karnataka,20-03-21
C0260,Customer_260,Female,29,Student,2181570,Bengaluru,Karnataka,14-06-24
C0261,Customer_261,Male,22,Professional,1204521,Mumbai,Maharashtra,03-11-21
C0262,Customer_262,Male,39,Business,1563119,Hyderabad,Telangana,07-09-21
C0263,Customer_263,Male,47,Student,563432,Mumbai,Maharashtra,16-08-21
C0264,Customer_264,Male,53,Business,902204,Hyderabad,Telangana,20-08-22
C0265,Customer_265,Male,60,Professional,1308999,Hyderabad,Telangana,14-03-24
C0266,Customer_266,Male,26,Professional,583867,Hyderabad,Telangana,14-12-23
C0267,Customer_267,Female,51,Salaried,2966196,Mumbai,Maharashtra,04-03-23
C0268,Customer_268,Female,22,Professional,583365,Bengaluru,Karnataka,08-12-22
C0269,Customer_269,Male,58,Professional,859560,Delhi,Delhi,01-04-21
C0270,Customer_270,Female,32,Student,2307105,Bengaluru,Karnataka,17-07-24
C0271,Customer_271,Male,25,Student,455121,Delhi,Delhi,24-08-22
C0272,Customer_272,Male,33,Salaried,1623704,Delhi,Delhi,28-09-22
C0273,Customer_273,Female,37,Salaried,1101545,Hyderabad,Telangana,09-08-22
C0274,Customer_274,Male,42,Professional,822086,Bengaluru,Karnataka,24-01-23
C0275,Customer_275,Female,49,Student,1722022,Hyderabad,Telangana,18-01-22
C0276,Customer_276,Female,44,Professional,646497,Hyderabad,Telangana,20-05-23
C0277,Customer_277,Female,59,Business,2587885,Mumbai,Maharashtra,25-08-22
C0278,Customer_278,Male,26,Professional,1540003,Bengaluru,Karnataka,20-09-22
C0279,Customer_279,Female,31,Student,1774494,Hyderabad,Telangana,05-07-23
C0280,Customer_280,Female,60,Student,1451568,Mumbai,Maharashtra,02-08-24
C0281,Customer_281,Male,46,Professional,2452038,Mumbai,Maharashtra,23-10-24
C0282,Customer_282,Male,30,Student,445957,Delhi,Delhi,16-09-21
C0283,Customer_283,Male,44,Professional,1905807,Mumbai,Maharashtra,07-03-24
C0284,Customer_284,Male,49,Professional,1860337,Mumbai,Maharashtra,29-06-23
C0285,Customer_285,Male,54,Professional,1969475,Mumbai,Maharashtra,06-10-22
C0286,Customer_286,Male,28,Salaried,1080342,Bengaluru,Karnataka,20-10-23
C0287,Customer_287,Male,37,Professional,2171805,Hyderabad,Telangana,16-03-22
C0288,Customer_288,Female,33,Salaried,869286,Bengaluru,Karnataka,01-06-21
C0289,Customer_289,Male,49,Salaried,1640448,Hyderabad,Telangana,29-09-24
C0290,Customer_290,Male,56,Professional,1558109,Bengaluru,Karnataka,19-11-21
C0291,Customer_291,Female,53,Business,809031,Delhi,Delhi,16-02-22
C0292,Customer_292,Male,52,Salaried,1813709,Delhi,Delhi,09-02-24
C0293,Customer_293,Female,56,Business,2866697,Bengaluru,Karnataka,26-06-21
C0294,Customer_294,Female,46,Student,2504927,Mumbai,Maharashtra,22-04-23
C0295,Customer_295,Male,29,Professional,2994163,Hyderabad,Telangana,01-06-21
C0296,Customer_296,Female,54,Professional,838274,Hyderabad,Telangana,04-02-24
C0297,Customer_297,Male,48,Salaried,820769,Delhi,Delhi,28-11-23
C0298,Customer_298,Female,31,Business,1653337,Delhi,Delhi,07-04-22
C0299,Customer_299,Female,26,Professional,1123349,Bengaluru,Karnataka,24-07-24
C0300,Customer_300,Male,40,Salaried,2407944,Bengaluru,Karnataka,05-08-24
C0301,Customer_301,Male,31,Professional,2663985,Delhi,Delhi,26-03-21
C0302,Customer_302,Male,23,Professional,1184194,Mumbai,Maharashtra,17-03-24
C0303,Customer_303,Male,52,Professional,2992354,Hyderabad,Telangana,11-09-22
C0304,Customer_304,Male,46,Professional,2202301,Hyderabad,Telangana,30-05-21
C0305,Customer_305,Male,49,Student,2331096,Mumbai,Maharashtra,10-08-23
C0306,Customer_306,Female,59,Business,1611066,Delhi,Delhi,16-10-22
C0307,Customer_307,Female,29,Professional,2459983,Bengaluru,Karnataka,25-02-24
C0308,Customer_308,Female,36,Student,813894,Mumbai,Maharashtra,02-07-22
C0309,Customer_309,Male,30,Salaried,512253,Hyderabad,Telangana,18-08-22
C0310,Customer_310,Female,36,Business,1673365,Hyderabad,Telangana,29-03-24
C0311,Customer_311,Male,31,Student,2458912,Bengaluru,Karnataka,15-08-23
C0312,Customer_312,Female,52,Salaried,677693,Hyderabad,Telangana,17-03-23
C0313,Customer_313,Male,34,Professional,504087,Hyderabad,Telangana,14-04-21
C0314,Customer_314,Female,59,Student,1498515,Bengaluru,Karnataka,05-01-24
C0315,Customer_315,Male,48,Business,1409279,Mumbai,Maharashtra,20-01-23
C0316,Customer_316,Female,23,Student,514570,Hyderabad,Telangana,13-03-24
C0317,Customer_317,Female,56,Professional,608414,Delhi,Delhi,03-03-23
C0318,Customer_318,Female,60,Salaried,839653,Hyderabad,Telangana,18-07-21
C0319,Customer_319,Female,42,Professional,905101,Hyderabad,Telangana,12-02-22
C0320,Customer_320,Male,23,Salaried,874772,Hyderabad,Telangana,14-11-22
C0321,Customer_321,Female,30,Business,1675588,Hyderabad,Telangana,09-06-24
C0322,Customer_322,Male,46,Professional,2790261,Bengaluru,Karnataka,20-11-22
C0323,Customer_323,Female,51,Salaried,1845004,Hyderabad,Telangana,10-11-22
C0324,Customer_324,Female,58,Professional,2939309,Mumbai,Maharashtra,24-02-21
C0325,Customer_325,Female,58,Business,515399,Hyderabad,Telangana,10-04-24
C0326,Customer_326,Male,54,Student,919816,Hyderabad,Telangana,26-10-24
C0327,Customer_327,Male,57,Salaried,1100207,Delhi,Delhi,08-02-21
C0328,Customer_328,Female,47,Business,2032080,Hyderabad,Telangana,22-02-22
C0329,Customer_329,Female,24,Business,2475515,Hyderabad,Telangana,01-03-22
C0330,Customer_330,Female,54,Student,1615973,Bengaluru,Karnataka,21-12-21
C0331,Customer_331,Female,55,Professional,2998233,Hyderabad,Telangana,26-06-22
C0332,Customer_332,Male,36,Professional,2640785,Hyderabad,Telangana,04-09-22
C0333,Customer_333,Female,39,Business,2351027,Delhi,Delhi,12-10-22
C0334,Customer_334,Female,56,Professional,1507076,Hyderabad,Telangana,07-09-21
C0335,Customer_335,Female,43,Business,1518246,Hyderabad,Telangana,28-03-21
C0336,Customer_336,Male,43,Student,1375603,Bengaluru,Karnataka,09-09-23
C0337,Customer_337,Male,55,Professional,2657274,Delhi,Delhi,11-07-22
C0338,Customer_338,Male,60,Business,1316942,Delhi,Delhi,14-04-21
C0339,Customer_339,Male,24,Salaried,2033511,Delhi,Delhi,08-11-22
C0340,Customer_340,Male,29,Salaried,2608345,Hyderabad,Telangana,20-11-21
C0341,Customer_341,Female,51,Business,1504793,Hyderabad,Telangana,20-10-22
C0342,Customer_342,Male,26,Business,2544591,Bengaluru,Karnataka,18-03-21
C0343,Customer_343,Female,32,Salaried,1965115,Delhi,Delhi,12-10-23
C0344,Customer_344,Female,23,Salaried,1551547,Delhi,Delhi,09-03-24
C0345,Customer_345,Female,39,Student,2989859,Mumbai,Maharashtra,18-01-24
