loan_id,customer_id,branch_id,loan_type_id,disbursement_date,due_date,loan_amount,interest_rate,emi_amount,paid_amount,outstanding_balance,loan_status,default_flag
L00107,C0385,B003,2,16-06-22,15-06-24,1590943,10.91,14583.64,1358664.31,232278.69,Closed,No
L00108,C1489,B025,1,11-04-23,08-04-33,3476450,8.3,31867.46,974056.23,2502393.77,Active,No
L00109,C1320,B030,1,29-01-23,28-01-26,273777,9.49,2509.62,78855.55,194921.45,Active,No
L00110,C0028,B026,1,27-03-22,26-03-24,2345265,11.84,21498.26,736667.64,1608597.36,Closed,No
L00111,C0286,B016,5,17-04-24,15-04-32,2938620,14.02,26937.35,2592380.54,346239.46,Active,No
L00112,C1114,B023,3,11-11-22,09-11-31,2882973,8.48,26427.25,1681138.55,1201834.45,Active,No
L00113,C1048,B029,4,24-04-24,24-04-27,473509,7.51,4340.5,133648.98,339860.02,Active,No
L00114,C0724,B021,3,18-08-22,17-08-26,301333,14.87,2762.22,114910.36,186422.64,Active,No
L00115,C0231,B016,2,02-12-23,01-12-25,3327464,9.3,30501.75,2493644.88,833819.12,Closed,No
L00116,C0739,B030,1,16-10-22,16-10-23,3097315,12.34,28392.05,808498.18,2288816.82,Active,No
L00117,C1392,B014,2,02-07-22,01-07-27,3695595,12.5,33876.29,2307472.28,1388122.72,Active,No
L00118,C1023,B022,3,21-10-22,20-10-27,3022470,13.99,27705.98,2721195.43,301274.57,Active,No
L00119,C0305,B025,6,30-12-23,29-12-26,740633,10.06,6789.14,615528.9,125104.1,Closed,No
L00120,C0980,B027,1,04-02-23,03-02-25,3847152,12.12,35265.56,2989524.76,857627.24,Closed,No
L00121,C0262,B006,4,15-01-24,13-01-30,2436027,10.05,22330.25,769137.17,1666889.83,Active,No
L00122,C1304,B011,2,11-03-23,10-03-27,4137340,10.57,37925.62,3122602.2,1014737.8,Active,No
L00123,C1099,B027,2,17-07-23,15-07-30,4269996,8.17,39141.63,2694358.05,1575637.95,Active,No
L00124,C0450,B023,1,03-01-24,02-01-28,3638656,10.39,33354.35,2261631.22,1377024.78,Closed,No
L00125,C0274,B030,1,28-07-22,28-07-23,243903,14.79,2235.78,119492.65,124410.35,Active,No
L00126,C1130,B030,4,05-01-23,04-01-27,1268946,9.19,11632.01,552953.16,715992.84,Active,No
L00127,C1425,B023,2,18-08-22,16-08-29,568635,13.36,5212.49,453541.17,115093.83,Active,No
L00128,C1358,B019,1,14-12-23,12-12-31,3662715,14.2,33574.89,1821641.73,1841073.27,Closed,No
L00129,C0162,B008,1,10-06-24,10-06-25,1426852,12.05,13079.48,319826.86,1107025.14,Active,No
L00130,C0287,B024,5,13-04-24,12-04-29,3593812,11.26,32943.28,1149206.85,2444605.15,Active,No
L00131,C0028,B010,1,10-01-24,09-01-27,2929787,7.98,26856.38,1626555.95,1303231.05,Closed,No
L00132,C0329,B001,4,20-10-23,18-10-30,369434,12.94,3386.48,252448.62,116985.38,Active,No
L00133,C1172,B017,3,15-06-24,14-06-28,3910915,10.89,35850.05,2515988.36,1394926.64,Closed,No
L00134,C0257,B024,2,10-06-22,08-06-29,2380255,12.45,21819.0,2329074.43,51180.57,Active,No
L00135,C1146,B020,1,13-08-22,11-08-30,3390775,11.32,31082.1,1176446.4,2214328.6,Closed,No
L00136,C0761,B021,4,31-10-23,30-10-27,3498224,9.66,32067.05,3014779.74,483444.26,Active,No
L00137,C0688,B001,2,17-04-22,16-04-27,752705,8.8,6899.8,368946.86,383758.14,Closed,No
L00138,C0634,B007,5,20-04-22,19-04-26,647936,12.61,5939.41,239430.47,408505.53,Active,No
L00139,C1157,B002,5,03-02-22,01-02-30,2116077,7.87,19397.37,878879.59,1237197.41,Defaulted,Yes
L00140,C0731,B025,3,19-11-22,17-11-29,881909,11.5,8084.17,842053.16,39855.84,Active,No
L00141,C1440,B022,1,19-11-22,17-11-28,3376936,10.76,30955.25,2635869.08,741066.92,Defaulted,Yes
L00142,C0308,B001,5,30-01-24,28-01-31,4324321,11.32,39639.61,1214279.31,3110041.69,Closed,No
L00143,C0949,B003,6,08-06-24,08-06-26,413803,15.12,3793.19,178802.42,235000.58,Active,No
L00144,C1472,B006,5,26-08-22,24-08-31,1908979,15.44,17498.97,1614959.63,294019.37,Closed,No
L00145,C0269,B011,3,16-09-23,14-09-29,4489650,12.49,41155.12,4239045.65,250604.35,Active,No
L00146,C0794,B008,2,18-03-23,15-03-33,435652,12.36,3993.48,397551.59,38100.41,Closed,No
L00147,C0031,B005,3,06-06-22,04-06-31,4855509,14.44,44508.83,3409692.42,1445816.58,Active,No
L00148,C0348,B030,3,27-03-24,27-03-27,831215,8.05,7619.47,498005.68,333209.32,Active,No
L00149,C1456,B025,4,14-08-23,12-08-28,3147818,15.39,28855.0,1519435.32,1628382.68,Active,No
L00150,C0254,B019,4,20-09-22,20-09-23,3808145,10.41,34908.0,2742754.24,1065390.76,Active,No
L00151,C1394,B005,4,21-10-22,19-10-28,3463321,11.6,31747.11,1825954.9,1637366.1,Closed,No
L00152,C1037,B015,3,02-10-23,01-10-24,2731048,12.46,25034.61,1362646.78,1368401.22,Closed,No
L00153,C1149,B001,2,22-10-23,21-10-25,578642,9.83,5304.22,458767.08,119874.92,Active,No
L00154,C0796,B028,4,12-06-22,11-06-24,4882628,10.29,44757.42,2536155.81,2346472.19,Active,No
L00155,C0176,B006,6,25-04-23,24-04-25,4588876,14.84,42064.7,4222230.37,366645.63,Active,No
L00156,C0650,B011,5,11-02-23,09-02-31,3733226,9.2,34221.24,1342381.46,2390844.54,Active,No
L00157,C1117,B005,4,30-01-24,29-01-27,4094818,12.62,37535.83,1193480.35,2901337.65,Active,No
L00158,C0779,B002,3,24-11-22,22-11-29,4866462,15.33,44609.24,1095239.14,3771222.86,Closed,No
L00159,C1401,B014,3,07-08-22,06-08-27,553635,12.59,5074.99,204398.89,349236.11,Active,No
L00160,C0611,B028,6,27-03-22,25-03-30,1288983,14.47,11815.68,329215.59,959767.41,Active,No
L00161,C0111,B003,4,22-06-23,20-06-29,1896042,15.21,17380.39,1394947.53,501094.47,Active,No
L00162,C0987,B016,5,01-11-22,31-10-25,1480205,15.22,13568.55,531222.26,948982.74,Defaulted,Yes
L00163,C0021,B018,5,24-03-23,23-03-27,3075375,8.12,28190.94,2860339.41,215035.59,Active,No
L00164,C0649,B001,2,15-11-23,13-11-31,4952720,14.97,45399.93,3433274.53,1519445.47,Active,No
L00165,C0833,B009,5,27-05-23,26-05-24,2754221,15.41,25247.03,801162.96,1953058.04,Defaulted,Yes
L00166,C1185,B004,1,02-05-24,01-05-28,1154592,13.47,10583.76,816798.15,337793.85,Closed,No
L00167,C1231,B013,2,12-07-22,10-07-28,3624692,9.18,33226.34,2744460.45,880231.55,Closed,No
L00168,C0746,B001,3,15-07-22,14-07-27,4938854,11.52,45272.83,4761467.97,177386.03,Active,No
L00169,C0934,B014,4,07-06-24,06-06-30,1146439,10.32,10509.02,870667.36,275771.64,Closed,No
L00170,C0233,B030,2,10-07-23,08-07-31,3672281,10.93,33662.58,2271437.48,1400843.52,Closed,No
L00171,C0782,B010,6,01-07-22,29-06-29,4736833,12.57,43420.97,3201689.13,1535143.87,Active,No
L00172,C0213,B003,6,20-12-23,19-12-24,932360,12.43,8546.63,928901.48,3458.52,Closed,No
L00173,C1116,B004,6,26-02-23,24-02-31,969691,11.53,8888.83,579025.71,390665.29,Closed,No
L00174,C0434,B008,4,05-04-24,03-04-33,373766,10.55,3426.19,274407.08,99358.92,Closed,No
L00175,C0951,B014,6,20-07-22,18-07-29,4039074,7.56,37024.85,3879293.07,159780.93,Active,No
L00176,C1349,B009,3,19-01-23,17-01-30,1978516,12.89,18136.4,1199076.95,779439.05,Active,No
L00177,C0767,B027,5,05-01-22,03-01-32,3577553,10.04,32794.24,809026.72,2768526.28,Active,No
L00178,C0802,B007,5,24-06-22,22-06-29,4899856,14.13,44915.35,4871747.0,28109.0,Active,No
L00179,C0800,B024,2,31-03-24,30-03-31,4947387,14.73,45351.05,2687826.08,2259560.92,Defaulted,Yes
L00180,C0259,B017,1,14-06-23,11-06-33,1429121,13.77,13100.28,785904.03,643216.97,Active,No
L00181,C0661,B007,1,13-05-24,13-05-26,2282968,7.71,20927.21,1985886.06,297081.94,Active,No
L00182,C0162,B019,4,12-01-22,12-01-23,1383864,13.44,12685.42,307570.23,1076293.77,Closed,No
L00183,C0383,B008,6,14-05-22,13-05-26,3905963,9.88,35804.66,2763744.27,1142218.73,Closed,No
L00184,C0775,B025,3,03-07-23,02-07-24,2157343,9.7,19775.64,1684992.96,472350.04,Closed,No
L00185,C0212,B004,4,28-05-22,25-05-32,294119,8.48,2696.09,209033.1,85085.9,Active,No
L00186,C0159,B016,3,26-05-22,25-05-26,2469471,10.63,22636.82,1011484.8,1457986.2,Active,No
L00187,C1282,B003,2,18-05-23,16-05-30,284188,10.5,2605.06,150902.72,133285.28,Active,No
L00188,C0021,B029,2,18-11-22,15-11-32,3882243,12.55,35587.23,3287635.73,594607.27,Active,No
L00189,C0711,B016,5,25-05-24,23-05-34,363825,11.87,3335.06,106879.31,256945.69,Active,No
L00190,C0395,B020,1,12-06-22,10-06-31,4476744,7.68,41036.82,3551658.26,925085.74,Defaulted,Yes
L00191,C0445,B001,3,09-06-23,08-06-26,1377971,9.26,12631.4,514045.5,863925.5,Active,No
L00192,C0189,B012,6,16-01-24,13-01-33,1161832,12.72,10650.13,481082.59,680749.41,Active,No
L00193,C0396,B009,2,24-04-23,23-04-27,4259086,13.0,39041.62,2337597.61,1921488.39,Defaulted,Yes
L00194,C1204,B010,2,05-01-24,04-01-28,2457893,15.13,22530.69,2382919.99,74973.01,Active,No
L00195,C0557,B027,3,15-05-23,12-05-33,3736223,8.36,34248.71,3386086.1,350136.9,Active,No
L00196,C1296,B027,1,28-01-23,26-01-31,3701338,8.84,33928.93,1331654.87,2369683.13,Active,No
L00197,C1237,B027,6,04-02-22,02-02-31,4389571,10.32,40237.73,1766586.93,2622984.07,Active,No
L00198,C0381,B012,2,31-01-22,31-01-24,1061753,9.22,9732.74,365161.69,696591.31,Active,No
L00199,C0020,B011,6,16-01-23,16-01-24,3220262,13.23,29519.07,1017705.01,2202556.99,Active,No
L00200,C0477,B018,1,07-08-22,05-08-29,4003862,9.77,36702.07,2618427.26,1385434.74,Active,No
L00201,C1467,B020,6,06-08-22,05-08-24,4522997,12.09,41460.81,1691468.52,2831528.48,Active,No
L00202,C0656,B007,2,24-10-23,23-10-24,3637896,13.92,33347.38,2712799.19,925096.81,Active,No
L00203,C0255,B015,2,26-05-23,23-05-33,492518,10.11,4514.75,488680.19,3837.81,Active,No
L00204,C1319,B026,5,28-01-23,28-01-24,2083250,14.79,19096.46,1377301.27,705948.73,Active,No
L00205,C1093,B030,5,19-10-22,19-10-23,1199394,10.2,10994.45,1047447.92,151946.08,Active,No
L00206,C0851,B024,3,17-01-22,16-01-27,682623,10.04,6257.38,393132.61,289490.39,Closed,No
L00207,C1012,B020,1,21-12-22,19-12-29,3458331,9.89,31701.37,912355.33,2545975.67,Closed,No
L00208,C0249,B027,3,11-04-23,08-04-33,4238407,8.32,38852.06,3725296.34,513110.66,Defaulted,Yes
L00209,C0662,B028,6,18-08-22,16-08-29,501262,9.31,4594.9,431268.39,69993.61,Active,No
L00210,C1101,B001,6,01-04-22,01-04-23,1703563,9.58,15615.99,1327563.36,375999.64,Closed,No
L00211,C0154,B009,3,14-03-24,12-03-34,461349,13.83,4229.03,133165.1,328183.9,Defaulted,Yes
L00212,C1195,B015,1,24-01-23,23-01-26,2364186,10.05,21671.71,1794256.09,569929.91,Defaulted,Yes
L00213,C1069,B017,2,01-06-22,29-05-32,3566960,11.32,32697.13,2530839.87,1036120.13,Closed,No
L00214,C0463,B003,3,17-05-23,15-05-28,2453353,13.19,22489.07,1122480.37,1330872.63,Closed,No
L00215,C1326,B024,2,28-12-22,27-12-24,4785165,8.1,43864.01,4155598.44,629566.56,Active,No
L00216,C0959,B027,4,22-05-23,21-05-27,605555,11.4,5550.92,224043.47,381511.53,Closed,No
L00217,C1053,B028,3,15-12-22,14-12-27,1850379,13.17,16961.81,1575035.82,275343.18,Closed,No
L00218,C0267,B008,3,03-11-23,01-11-30,1391836,15.3,12758.5,1222373.82,169462.18,Active,No
L00219,C0141,B009,4,07-06-24,07-06-27,4407248,12.99,40399.77,1597259.76,2809988.24,Active,No
L00220,C0220,B024,1,09-06-24,08-06-28,4942259,7.63,45304.04,3552033.03,1390225.97,Active,No
L00221,C1088,B015,3,17-04-23,15-04-28,1668919,8.45,15298.42,689940.02,978978.98,Active,No
L00222,C0813,B017,4,18-07-23,15-07-32,805203,10.17,7381.03,389349.04,415853.96,Active,No
L00223,C0784,B024,4,28-03-23,27-03-27,2386641,9.85,21877.54,1183355.18,1203285.82,Active,No
L00224,C1011,B017,4,17-02-23,16-02-25,1581806,12.95,14499.89,1068097.63,513708.37,Active,No
L00225,C0109,B029,1,24-10-23,21-10-33,2188295,9.63,20059.37,2116469.41,71825.59,Active,No
L00226,C1271,B023,6,09-03-22,07-03-29,4563844,10.64,41835.24,1281644.2,3282199.8,Active,No
L00227,C0550,B016,2,14-04-22,13-04-25,1944556,13.79,17825.1,1530636.83,413919.17,Closed,No
L00228,C0007,B004,2,22-12-22,20-12-31,2515856,14.76,23062.01,1923831.5,592024.5,Active,No
L00229,C1409,B008,2,30-09-23,28-09-29,4099338,12.95,37577.27,3243693.84,855644.16,Closed,No
L00230,C0027,B022,4,20-06-22,18-06-29,1671558,10.17,15322.61,778485.1,893072.9,Active,No
L00231,C0020,B020,3,01-07-22,29-06-30,2313184,12.17,21204.19,2093445.45,219738.55,Active,No
L00232,C0036,B019,6,16-05-23,14-05-28,2176267,14.18,19949.11,1258001.14,918265.86,Active,No
L00233,C0193,B004,3,22-06-23,20-06-29,4320698,11.12,39606.4,1442438.2,2878259.8,Active,No
L00234,C0997,B009,3,23-01-24,21-01-32,3042564,7.61,27890.17,3017719.93,24844.07,Active,No
L00235,C1360,B028,5,28-12-22,26-12-30,2626095,8.4,24072.54,2017171.11,608923.89,Closed,No
L00236,C0841,B028,2,04-12-23,03-12-26,4456278,10.36,40849.22,3487360.32,968917.68,Active,No
L00237,C0883,B012,2,01-02-22,01-02-24,2149905,9.05,19707.46,1423381.94,726523.06,Closed,No
L00238,C1391,B018,4,22-01-23,20-01-32,1005396,8.9,9216.13,977609.32,27786.68,Closed,No
L00239,C0855,B009,3,27-11-23,26-11-27,3026324,7.83,27741.3,2755153.03,271170.97,Active,No
L00240,C0932,B019,3,17-06-23,15-06-28,2979594,8.38,27312.95,2584312.88,395281.12,Active,No
L00241,C1395,B005,5,09-01-22,08-01-27,4285303,12.49,39281.94,4035840.19,249462.81,Active,No
L00242,C0604,B001,4,12-11-23,11-11-24,1464044,9.24,13420.4,648449.21,815594.79,Active,No
L00243,C0882,B012,6,25-04-24,25-04-25,1135454,7.9,10408.33,275409.62,860044.38,Active,No
L00244,C1029,B022,5,22-05-22,21-05-25,3037843,15.13,27846.89,2743104.41,294738.59,Closed,No
L00245,C0885,B019,1,01-01-24,30-12-28,2370535,9.25,21729.9,744621.56,1625913.44,Closed,No
L00246,C0792,B014,4,30-04-23,29-04-25,3074870,14.64,28186.31,1226820.25,1848049.75,Closed,No
L00247,C0661,B026,5,06-11-22,05-11-25,2706640,12.97,24810.87,916580.83,1790059.17,Active,No
L00248,C0617,B010,1,24-07-22,23-07-27,2197323,12.03,20142.13,677989.73,1519333.27,Active,No
L00249,C0895,B004,2,06-10-23,03-10-32,3968443,11.04,36377.39,2526566.94,1441876.06,Active,No
L00250,C0960,B012,4,17-11-22,15-11-30,4326307,10.86,39657.81,4100923.07,225383.93,Closed,No
L00251,C0863,B003,2,25-02-23,22-02-33,3969530,14.75,36387.36,881784.85,3087745.15,Active,No
L00252,C1272,B018,5,16-03-24,15-03-29,2135459,7.93,19575.04,1418495.59,716963.41,Active,No
L00253,C0948,B026,5,15-05-24,13-05-32,3393865,14.21,31110.43,1020700.39,2373164.61,Closed,No
